city,lat,lng
Toppenish,46.3807,-120.3124
Finley,46.1697,-119.0446
Darrington,48.2546,-121.6029
Picnic Point,47.8745,-122.3079
Aeneas,48.5474,-118.9786
Cedarhurst,47.482,-122.4793
Four Lakes,47.5582,-117.5891
Dayton,46.3168,-117.977
Port Madison,47.7026,-122.5243
Orting,47.0966,-122.2111
Wheeler,47.1307,-119.172
Fircrest,47.2308,-122.5157
Lebam,46.5641,-123.551
Marrowstone,48.0568,-122.6933
North Puyallup,47.2015,-122.2742
Five Corners,45.6882,-122.574
Graham,47.0407,-122.2757
Longview Heights,46.1796,-122.9577
Hobart,47.412,-121.996
Point Roberts,48.9883,-123.0576
Town and Country,47.7259,-117.4221
Lake Hills,47.6134,-122.1215
Rosedale,47.3453,-122.6376
Irondale,48.042,-122.7727
Dishman,47.6568,-117.2833
Bayview,47.2795,-122.6057
Conconully,48.5571,-119.7513
Entiat,47.678,-120.2175
Lochsloy,48.0597,-122.0411
Brinnon,47.669,-122.9248
Seahurst,47.4693,-122.3621
Dixie,46.1392,-118.148
Eastgate,47.5727,-122.1458
Blockhouse,45.8396,-120.9376
Buena,46.4299,-120.3176
Grapeview,47.3316,-122.8413
Startup,47.8671,-121.7495
Hayford,47.6063,-117.5638
Bell Hill,48.055,-123.087
Westport,46.8919,-124.1121
Southworth,47.5126,-122.5298
Twisp,48.3619,-120.1171
Milan,47.9668,-117.3316
Ritzville,47.1254,-118.3809
Lake Goodwin,48.1387,-122.2804
McMurray,48.3162,-122.2354
Portage,47.4073,-122.4376
Lake Bosworth,48.0532,-121.9812
Fords Prairie,46.7461,-123.0029
Longmire,46.7498,-121.8126
Carson,45.7353,-121.8219
Mount Vista,45.7373,-122.6315
Vancouver,45.6352,-122.597
Chelan Falls,47.7994,-119.9883
Espanola,47.6032,-117.7416
Battle Ground,45.7764,-122.5413
Summitview,46.598,-120.6514
Geneva,48.7461,-122.4064
Queets,47.5314,-124.3385
Wollochet,47.2828,-122.5769
College Place,46.0431,-118.3869
Garfield,47.0103,-117.1395
Ruff,47.1696,-118.9983
Ewan,47.1168,-117.7349
Glenwood,46.0227,-121.2926
Riverbend,47.4651,-121.7491
Trout Lake,45.9975,-121.529
